id,first_name,last_name,middle_name,sex,dob,ssn,region
85,  WAYLAND,     DOPSON,,1,19000306,397006651,
86,  YASMINE,   GREENING,,2,19930826,746001553,
87, BRITTANI,     GILLIS,,2,19201215,714000884,
88, CAUDILL      , CHARLIE                  ,              ,1,19470206,999999999,
89, CLIFFORD,    SEYBOLD,    BERNIE,1,19520521,751006059,
90, DELPHINE,    STEIGER,   DOROTHY,2,19371116,494001046,
91, JAMARCUS,  RUDACILLE,         Z,1,19771113,178007027,
92, KENYATTA,   MARKWELL,   DONAHOE,1,19641224,808007504,
93, KIMBERLI,    BRITTEN,   ARVILLA,2,19340111,168001880,
94, VERONICA,     BUXTON,         C,1,19840216,330009433,
95, WILLIAMS,     HAUGEN,,1,19851207,154721,
96,AARON         ,SEARLE                   ,KYRA          ,1,19390109,407107090,S640
97,AARON         ,COFFEY                   ,H             ,1,19880403,999999999,C100
98,AARON         ,KENNY                    ,E             ,1,19780509,407735759,K500
99,AARON         ,HYMES                    ,S             ,1,99999999,408908800,H520
100,AARON         ,SOLIZ                    ,ROOK          ,1,19800415,408872629,S420
101,AARON         ,FRANCO                   ,DORWEILER     ,1,19680901,408987279,F652
102,AARON         ,BRADDOCK                 ,H             ,1,19861010,408357153,B632
103,AARON         ,MCALLISTER               ,KOJAN         ,1,19820804,408542418,M242
104,AARON         ,KAO                      ,JAYLON        ,1,19881101,409721608,K000
105,AARON         ,MACK                     ,NOEL          ,1,19420311,409685711,M200
106,AARON         ,MITCHELL                 ,I             ,1,19491123,409307255,M324
107,AARON         ,RICHARDSON               ,O             ,1,99999999,409257523,R263
108,AARON         ,HAMILTON                 ,W             ,1,19690125,409067348,H543
109,AARON         ,SATERFIEL                ,L             ,1,19330325,999999999,S361
110,AARON         ,ANDERSON                 ,GREENLEAF     ,1,19420422,412219113,A536
111,AARON         ,ROMERO                   ,HALLDAVID     ,1,19680104,412919782,R560
112,AARON         ,POMBO                    ,ABE           ,1,19771102,412816174,P510
113,AARON         ,GROSS                    ,L             ,1,19730706,412023846,G620
114,AARON         ,ANDERSON                 ,EUTSLER       ,1,19770516,412975001,A536
115,AARON         ,NOONAN                   ,ARMITSTEAD    ,1,19900804,412845911,N550
116,AARON         ,STUBBS                   ,MATHILDE      ,1,19530507,412890632,S312
117,AARON         ,BLANCO                   ,HAROLD        ,1,19850511,412342771,B452
118,AARON         ,WELTY                    ,F             ,1,19561221,412809336,W430
119,AARON         ,KOLIAS                   ,BEACH         ,1,19511230,412896121,K420
120,ABBY          ,SHERROD                  ,VOTAW         ,2,19380223,403330558,S630
121,ABBY          ,WOODLY                   ,MARLYN        ,2,19440308,404556983,W340
122,ABE           ,MACK                     ,TIMMOTHY      ,1,19730802,412676651,M200
123,ABEL          ,KING                     ,ROBERT        ,1,19460603,412448426,K520
124,ABIGAIL       ,MARTIN                   ,Q             ,2,19370930,402511096,M635
125,ABIGAIL       ,HOPPER                   ,NOAH          ,2,19741220,403057583,H160
126,ABIGAIL       ,MORRIS                   ,G             ,2,19679999,404329854,M620
127,ABIGAIL       ,KRAUSE                   ,LUCY          ,2,19760418,405424952,K620
128,ABIGAIL       ,DUPREE                   ,MAGDALENA     ,2,19630107,405051269,D160
129,ABIGAIL       ,WOFFORD                  ,HILTZ         ,2,19630422,404812900,
130,ABRAHAM       ,DEBOER                   ,TISHA         ,1,19640625,999999999,D160
131,ABRAHAM       ,MERSEAL                  ,BATTERSHELL   ,1,19520207,412423764,M624
132,ADA           ,RAMOS                    ,HUTCHINSON    ,2,19691120,401612513,R520
133,ADA           ,CAVALLARO                ,P             ,2,19451226,401890952,C146
134,ADA           ,HARVEY                   ,DARROCH       ,2,19590405,401477575,H610
135,ADA           ,HOWARD                   ,SHELBIE       ,2,19721026,401584734,H630
136,ADA           ,JONES                    ,MARGASON      ,2,19781115,402064098,J520
137,ADA           ,LANE                     ,R             ,2,19680915,402573077,L500
138,ADA           ,ROONEY                   ,C             ,2,19750930,403012814,R500
139,ADALINE       ,CLAUDIO                  ,FLEWELLING    ,2,19621123,402087650,C430
140,ADAM          ,SULLIVAN                 ,I             ,2,19590212,403454419,S415
141,ADAM          ,FERGUSON                 ,ARVEL         ,1,19710921,408094747,F622
142,ADAM          ,SHIPLEY                  ,              ,1,19581221,409803760,S140
143,ADAM          ,SCHULTZ                  ,G             ,1,19630918,412547895,S432
144,ADAM          ,JACKSON                  ,C             ,1,19490917,412874517,J250
145,ADAM          ,OBRIEN                   ,FOUSHEE       ,1,19900925,999999999,O165
146,ADAM          ,MEDINA                   ,GAHAGAN       ,1,19461010,412795890,M350
147,ADAM          ,MARTINEZ                 ,KIRSTEN       ,1,19541114,412661264,M635
148,ADAM          ,ABREU                    ,H             ,1,19780922,412698842,A160
149,ADAM          ,CANTRELL                 ,L             ,1,19850517,999999999,C536
150,ADAM          ,PRITCHARD                ,O             ,1,19431219,412646265,P632
151,ADAM          ,HARRIS                   ,OSGOOD        ,1,19411107,412423501,H620
152,ADAM          ,ALBANESE                 ,CHESTER       ,1,19380806,999999999,A415
153,ADAM          ,BUTLER                   ,STEVIE        ,1,19750609,412003698,B346
154,ADAM          ,CHAUVIN                  ,KALEIGH       ,1,19850126,412468414,C150
155,ADDIE         ,GARCIA                   ,LITTLE        ,2,19400723,401547810,G620
156,ADDIE         ,BURMEISTER               ,MCFALL        ,2,19481120,401893941,B652
157,ADDIE         ,SELBY                    ,SYBLE         ,2,19620726,401500735,S410
158,ADDIE         ,WALTERS                  ,R             ,2,19630827,404900705,W436
159,ADDIE         ,ALCORN                   ,PULLIG        ,2,19531005,404206242,A426
160,ADELA         ,SANDS                    ,MILFORD       ,2,19541229,402202121,S532
161,ADELA         ,DAVIS                    ,MARCUS        ,2,19661129,402597475,D120
162,ADELAIDA      ,VALENTINE                ,C             ,2,19430901,405326613,V453
163,ADELE         ,FLEISCHER                ,LIGNOWSKI     ,2,19600220,402446730,F426
164,ADELE         ,CROWN                    ,WINSTON       ,2,19560430,402128087,C650
165,ADELINA       ,WHITMIRE                 ,O             ,2,19390607,403798824,W356
166,ADELINE       ,COLLINS                  ,WINDY         ,2,19460426,402594117,C452
167,ADELINE       ,WILLIAMS                 ,BUSTER        ,2,19380805,402850432,W452
168,ADELINE       ,WILSON                   ,JAME          ,2,19821231,405276702,W425
169,ADELL         ,CONRAD                   ,KARRICK       ,2,99999999,401332948,C563
170,ADELL         ,HENSON                   ,LEANDER       ,2,19560606,999999999,H525
171,ADELL         ,FELTEN                   ,P             ,2,19800116,402795767,F435
172,ADELLA        ,SEEGER                   ,SWINTON       ,2,19581026,403461103,S260
173,ADELLA        ,BALAZ                    ,K             ,2,19510621,404053076,B420
174,ADOLFO        ,MCPHERSON                ,MOTES         ,1,19330220,412670606,M216
175,ADRIAN        ,CORTEZ                   ,CHAPPLE       ,2,19810908,403044999,C632
176,ADRIAN        ,HANEY                    ,C             ,2,19460402,404269867,H500
177,ADRIAN        ,DYKE                     ,PAXTON        ,1,19561122,407444306,D200
178,ADRIAN        ,HARVEY                   ,G             ,1,19520816,412511148,H610
179,ADRIAN        ,BAKER                    ,CORT          ,1,19710929,412961977,B260
180,ADRIAN        ,SIM                      ,NARRAMORE     ,1,19400805,412777194,S500
181,ADRIAN        ,BARLOW                   ,S             ,1,19679999,412160554,B640
182,ADRIANA       ,MULLINS                  ,LOE           ,2,19400310,403808854,M452
183,ADRIANE       ,JONES                    ,ROUNDTREE     ,2,19331014,404476967,J520
184,ADRIANE       ,FUNG                     ,ARBOGAST      ,2,19441013,405598287,F520
185,ADRIANNA      ,MAHLER                   ,DECKARD       ,2,19681018,402975304,M460
186,ADRIANNE      ,ELDRIDGE                 ,BUCKEY        ,2,19760705,402920061,E436
187,ADRIANNE      ,FREIDIN                  ,KENNEY        ,2,19640515,405036166,F635
188,ADRIENNE      ,GILMORE                  ,KEVIN         ,2,19891111,402298539,G456
189,ADRIENNE      ,MOODY                    ,Y             ,2,19790117,402844696,M300
190,ADRIENNE      ,PORTER                   ,HAKEEM        ,2,19330316,403550457,P636
191,ADRIENNE      ,HERTZ                    ,CHAD          ,2,19421023,403759732,H632
192,ADRIENNE      ,KINSLOW                  ,PIBWORTH      ,2,19531204,403554880,K524
193,ADRIENNE      ,KROWS                    ,H             ,2,99999999,404172375,K620
194,ADRIENNE      ,WILLIAMS                 ,VIRES         ,2,99999999,404383732,W452
195,AGNES         ,FLETCHER                 ,GINNY         ,2,19720803,401121586,F432
196,AGNES         ,FOWLER                   ,GLENNA        ,2,19451021,401199653,F460
197,AGNES         ,JOHNSON                  ,              ,2,99999999,402255198,J525
198,AGNES         ,LYTLE                    ,D             ,2,19871210,402329684,L340
199,AGNES         ,RESTREPO                 ,H             ,2,19600818,403694897,R236
200,AGNES         ,RICCO                    ,NORTHROP      ,2,19710407,403182659,R200
201,AGNES         ,ORTIZ                    ,J             ,2,19380511,404170365,O632
202,AGNES         ,WALLACE                  ,BODEWIN       ,2,19740330,404463555,W420
203,AGNES         ,ANGUIANO                 ,DALIA         ,2,19840818,404065970,A525
204,AGNES         ,MCBRIDE                  ,D             ,2,19670216,404668275,M216
205,AGNES         ,FRANCO                   ,F             ,2,19380204,404775069,F652
206,AGNES         ,GALINDO                  ,J             ,2,19471101,999999999,G453
207,AGNES         ,SAYERS                   ,CORI          ,2,19540103,405898499,S620
208,AGNES         ,SWANSON                  ,PEGGY         ,2,19491124,405275793,S525
209,AGNES         ,BOND                     ,L             ,2,19590113,405383449,B530
210,AGNES         ,BAILEY                   ,D             ,2,19901113,405120872,B400
211,AI            ,SHORT                    ,X             ,2,19729999,999999999,S630
212,AIDA          ,WHITE                    ,KAY           ,2,19800307,999999999,W300
213,AIDA          ,LADSON                   ,DASH          ,2,19520409,405870304,L325
214,AIDA          ,METZINGER                ,LESLY         ,2,19640217,405922491,M325
215,AIDA          ,JOYAL                    ,KROUPA        ,2,19320128,405218751,J400
216,AILEEN        ,LOVE                     ,ABDIEL        ,2,19660128,403527691,L100
217,AILEEN        ,HAMILL                   ,E             ,2,19750601,404526866,H540
218,AILEEN        ,CHRISTENSON              ,FOUNTAINE     ,2,19740218,405142883,C623
219,AILEEN        ,MICHAEL                  ,W             ,2,19670119,405905559,
220,AIMEE         ,SKOWRONEK                ,KINDLE        ,2,19370425,403365955,S652
221,AIMEE         ,BELTRAN                  ,RUSSELL       ,2,19840929,404680851,B436
222,AISHA         ,MORSE                    ,W             ,2,19740904,402931197,M620
223,AKIKO         ,JEFFERSON                ,DAPHNE        ,2,19659999,405525602,J162
224,AKILAH        ,RUIZ                     ,UXLEY         ,2,19770926,405608974,R200
225,ALAINA        ,JOHNSON                  ,QUESTED       ,2,19640207,405210754,J525
226,ALAN          ,JAKES                    ,N             ,1,19740114,407689880,J220
227,ALAN          ,EVANS                    ,P             ,1,19860630,407879349,E152
228,ALAN          ,MARTIN                   ,DESTINEY      ,1,19490701,407759940,M635
229,ALAN          ,MORRISON                 ,BORSTLAP      ,1,19811007,408071663,M625
230,ALAN          ,HILL                     ,DELMA         ,1,19431202,408304217,H400
231,ALAN          ,PEREZ                    ,Y             ,1,19330607,999999999,P620
232,ALAN          ,PRATER                   ,DELMA         ,1,19431129,412408489,P636
233,ALAN          ,ROWAN                    ,M             ,1,19900227,412265922,R500
234,ALAN          ,ARNE                     ,ASHLYN        ,1,19570419,412856768,A650
235,ALAN          ,REYES                    ,Y             ,1,19501001,412050168,R200
236,ALAN          ,THURBER                  ,B             ,1,19530306,412869299,T616
237,ALAN          ,STEELE                   ,BORIS         ,1,19770327,999999999,S340
238,ALAN          ,DERRICK                  ,SOLON         ,1,19530214,412532079,D620
239,ALANA         ,BOYSTER                  ,W             ,2,19570325,999999999,B236
240,ALANA         ,PEOPLES                  ,L             ,2,19600917,403106871,P142
241,ALANA         ,CHAPPELL                 ,MADILL        ,2,19560228,999999999,C140
242,ALAYNA        ,FENTON                   ,G             ,2,19790626,402917771,F535
243,ALBA          ,FOWLER                   ,              ,2,19820925,404299598,F460
244,ALBERT        ,LARSEN                   ,ARACELI       ,1,19840906,407060840,L625
245,ALBERT        ,ATKINS                   ,KATHLYN       ,1,19621210,407682408,A325
246,ALBERT        ,SMITH                    ,Z             ,1,19650526,407937967,S530
247,ALBERT        ,RAINEY                   ,              ,1,19620406,408315795,R500
248,ALBERT        ,GALAN                    ,Z             ,1,19530924,408821390,G450
249,ALBERT        ,VIRGIL                   ,C             ,1,19801224,999999999,V624
250,ALBERT        ,YARBROUGH                ,CELESTINE     ,1,19320215,409095268,Y616
251,ALBERT        ,MARTINEZ                 ,OPIE          ,1,19460530,412717334,M635
252,ALBERT        ,SIMPSON                  ,ASHMAN        ,1,19430607,412961708,S512
253,ALBERT        ,MITCHELL                 ,KEEVER        ,1,19351102,999999999,M324
254,ALBERT        ,FRUM                     ,BOZEMAN       ,1,19710320,412098019,F650
255,ALBERT        ,IKERD                    ,M             ,1,19811230,412701965,I263
256,ALBERT        ,HURLBERT                 ,HINCHMAN      ,1,19300220,412077233,H641
257,ALBERT        ,KYLE                     ,RUMMEL        ,1,19411102,412811814,K400
258,ALBERT        ,SENN                     ,ARBOGAST      ,1,19730619,412022241,S500
259,ALBERT        ,CLAYTON                  ,A             ,1,19700801,412841379,C435
260,ALBERT        ,HOLT                     ,NATALIE       ,1,19761107,999999999,H430
261,ALBERT        ,MALDONADO                ,P             ,1,19311213,412716343,M435
262,ALBERT        ,FRANKLIN                 ,LYDIA         ,1,19471219,412246400,F652
263,ALBERT        ,ZEBROWSKI                ,ELIZABETH     ,1,19670227,407944867,
264,ALBERTA       ,MOORE                    ,SPRENGER      ,2,19571104,401177013,M600
265,ALBERTA       ,CREPEAU                  ,M             ,2,19600601,402113729,C610
266,ALBERTA       ,SOBEL                    ,FELICITA      ,2,19751014,403002791,S140
267,ALBERTA       ,HEBERT                   ,BRAMBLETT     ,2,19511108,403292268,H163
268,ALBERTA       ,CARROLL                  ,SIMCOCK       ,2,19790304,403222869,C640
269,ALBERTA       ,DEBELLIS                 ,CONDIE        ,2,19500814,999999999,D142
270,ALBERTA       ,DONALDSON                ,S             ,2,19460810,404880964,D543
271,ALBERTHA      ,FRYE                     ,Z             ,2,19820729,999999999,F600
272,ALBERTINE     ,OBERG                    ,HARRAH        ,2,19580324,404704234,O162
273,ALBERTO       ,CRAWFORD                 ,TRACIE        ,1,19720309,407157269,C616
274,ALBERTO       ,MULLINS                  ,LEANDER       ,1,19790722,999999999,M452
275,ALBERTO       ,WHELAN                   ,JOSIE         ,1,19691013,999999999,W450
276,ALBERTO       ,MORGAN                   ,WAKEFIELD     ,1,19300222,408906441,M625
277,ALBERTO       ,LANE                     ,X             ,1,19900804,412397690,L500
278,ALBERTO       ,RATH                     ,EMMIT         ,1,19470808,412920589,R300
279,ALBERTO       ,CARNEY                   ,P             ,1,19530328,412684738,C650
280,ALEEN         ,WHALEN                   ,WORTHY        ,2,19630107,401259918,W450
281,ALEJANDRA     ,LAKE                     ,DOREMUS       ,2,19440605,403390922,L200
282,ALEJANDRO     ,SCOGGINS                 ,CARROL        ,1,19350716,999999999,S252
283,ALEJANDRO     ,NEGRON                   ,GLENNA        ,1,19520510,406370324,
284,ALEJANDRO     ,SCOGGINS                 ,CARROL        ,1,19350716,409698674,
285,ALENA         ,JOHNSON                  ,BUCKNER       ,2,19450422,401085462,J525
286,ALENA         ,MASSEY                   ,WAINSCOTT     ,2,19780810,404517580,M200
287,ALENA         ,RICHARD                  ,LINNELL       ,2,19780727,404794314,R263
288,ALESIA        ,BLOOM                    ,X             ,2,19560402,999999999,B450
289,ALESIA        ,LEE                      ,MARTIN        ,2,19560928,405005822,L000
290,ALETA         ,STOCKDALE                ,KIRK          ,2,19530727,403907186,S323
291,ALEX          ,DIBBLE                   ,FRECHETTE     ,1,19390602,407927163,D140
292,ALEX          ,WILSON                   ,LONGSTAFF     ,1,19550603,408657180,W425
293,ALEX          ,BURCZYK                  ,SCUDDER       ,1,19331006,409324130,B622
294,ALEX          ,GLOVER                   ,SOCORRO       ,1,19790603,412667958,G416
295,ALEX          ,ROGERS                   ,MARCIE        ,1,19850904,412284554,R262
296,ALEX          ,GONZALEZ                 ,N             ,1,19590815,412574063,G524
297,ALEX          ,ANDERSON                 ,AVEN          ,1,19451225,412903909,A536
298,ALEX          ,SELF                     ,SUMMERFIELD   ,1,19560626,412117844,S410
299,ALEX          ,ZABORSKI                 ,SALOME        ,1,19461008,412385715,Z162
300,ALEX          ,LEWIS                    ,MARJORY       ,1,19460529,412477790,L200
301,ALEX          ,AVALOS                   ,A             ,1,19300611,999999999,
302,ALEXA         ,ROMERO                   ,R             ,2,19720403,404489455,R560
303,ALEXANDER     ,HAMILTON                 ,ERIN          ,2,19671028,401107904,H543
304,ALEXANDER     ,MCDONALD                 ,CHANDLER      ,1,19841102,407161220,M235
305,ALEXANDER     ,KAUMANS                  ,CODIE         ,1,19520816,407545219,K552
306,ALEXANDER     ,HIGGINS                  ,DESTIN        ,1,19430807,408752844,H252
307,ALEXANDER     ,WIEGAND                  ,BUTTER        ,1,19810401,412478375,W253
308,ALEXANDER     ,WELLS                    ,KAYLIE        ,1,19600213,412739282,W420
309,ALEXANDER     ,PORTER                   ,BEULAH        ,1,19520908,412354937,P636
310,ALEXANDER     ,JAMISON                  ,J             ,1,99999999,412422777,J525
311,ALEXANDER     ,DECOOK                   ,U             ,1,19790524,412503516,D220
312,ALEXANDER     ,BENASSI                  ,J             ,1,19690102,412845104,B520
313,ALEXANDER     ,LEWIS                    ,DWANE         ,1,19630506,999999999,
314,ALEXANDRA     ,TAYLOR                   ,D             ,2,19810829,402365299,T460
315,ALEXANDRA     ,CHASTAIN                 ,JACLYN        ,2,19680323,403457785,C235
316,ALEXANDRA     ,CORPUS                   ,K             ,2,19471106,403771425,C612
317,ALEXANDRA     ,EASLEY                   ,RILEY         ,2,19490115,999999999,E240
318,ALEXANDRIA    ,HINES                    ,AIMEE         ,2,19650422,401722182,H520
319,ALEXIA        ,CHISHOLM                 ,JAQUELINE     ,2,19650609,402511597,C245
320,ALEXIS        ,BENDER                   ,ANNIE         ,2,19350513,402799701,B536
321,ALEXIS        ,BECKER                   ,BOCHAT        ,2,19890715,402529575,B260
322,ALEXIS        ,CRAIG                    ,SHATTO        ,1,19760908,412063503,C620
323,ALFONSO       ,LEBEL                    ,DALE          ,1,19890512,408581666,L140
324,ALFONSO       ,SANDERS                  ,HIGBEE        ,1,19350515,412019310,S536
325,ALFONSO       ,HUERTA                   ,W             ,1,19520427,412860558,H630
326,ALFONSO       ,HOPKINS                  ,CURD          ,1,19390813,406856698,
327,ALFRED        ,DOUGLAS                  ,M             ,1,19811019,407740172,D242
328,ALFRED        ,LANE                     ,EMILIE        ,1,19370629,408199687,L500
329,ALFRED        ,JONES                    ,BRENNA        ,1,19849999,412859973,J520
330,ALFRED        ,CHAVEZ                   ,G             ,1,19670406,412583830,C120
331,ALFRED        ,VINCENT                  ,J             ,1,19340626,412557608,V525
332,ALFRED        ,CURRAN                   ,PAULINE       ,1,19730919,412817042,C650
333,ALFRED        ,POWELL                   ,PRESBURY      ,1,19820206,412697537,P400
334,ALFRED        ,WEISNER                  ,BREECH        ,1,19771030,412353309,W256
335,ALFRED        ,LOWRY                    ,STUCKER       ,1,19691218,412089544,L600
336,ALFRED        ,DELEON                   ,ZUFELDT       ,1,19390930,412365129,D450
337,ALFRED        ,LANE                     ,EMILIE        ,1,19370629,408199687,
338,ALFREDA       ,SAPP                     ,MOHAMMED      ,2,19351130,402687344,S100
339,ALFREDO       ,GUTIERREZ                ,S             ,1,19850620,408351722,G362
340,ALFREDO       ,GUILLEN                  ,J             ,1,19761225,408321459,G450
341,ALFREDO       ,MCNEIL                   ,E             ,1,19641105,412935453,M254
342,ALFREDO       ,CARON                    ,M             ,1,19580221,412976814,C650
343,ALFREDO       ,HILL                     ,WULF          ,1,19811120,412716109,H400
344,ALI           ,KIRBY                    ,WOLFORT       ,2,19681220,403137952,K610
345,ALICE         ,SMALL                    ,VANESSA       ,2,19841005,401714396,S540
346,ALICE         ,KNOWLES                  ,Z             ,2,19300504,401470533,K542
347,ALICE         ,PURDOM                   ,B             ,2,19491031,999999999,P635
348,ALICE         ,SINGLETON                ,KEENAN        ,2,19410110,401745829,S524
349,ALICE         ,DIAZ                     ,BRYON         ,2,99999999,401326740,D200
350,ALICE         ,DRAKE                    ,EAGER         ,2,19481112,401987646,D620
351,ALICE         ,LONG                     ,RUSS          ,2,19590310,401359562,L520
352,ALICE         ,KHAN                     ,C             ,2,19890106,999999999,K500
353,ALICE         ,LESCANO                  ,CRYSTAL       ,2,19901105,401065720,L250
354,ALICE         ,COOK                     ,U             ,2,19581107,402084218,C200
355,ALICE         ,HARDISON                 ,X             ,2,19770910,402080064,H632
356,ALICE         ,CROCKETT                 ,A             ,2,19321214,402954423,C623
357,ALICE         ,LINDSTROM                ,Z             ,2,19640408,402511503,L532
358,ALICE         ,PATTERSON                ,CONN          ,2,19820318,402960957,P362
359,ALICE         ,GORDON                   ,X             ,2,19431219,402626523,G635
360,ALICE         ,SWEENEY                  ,X             ,2,19720403,402624171,S500
361,ALICE         ,HOLMES                   ,Y             ,2,19440525,402205753,H452
362,ALICE         ,FERRELL                  ,HIGDON        ,2,99999999,402467231,F640
363,ALICE         ,STOOPS                   ,V             ,2,19830223,402773898,S312
364,ALICE         ,DZUBAK                   ,ALEEN         ,2,19690225,999999999,D212
365,ALICE         ,AYLWARD                  ,ODELL         ,2,19570408,403387747,A463
366,ALICE         ,WARD                     ,DEE           ,2,19430709,403780490,W630
367,ALICE         ,CRABTREE                 ,DREYER        ,2,19511111,403735513,C613
368,ALICE         ,LATHAM                   ,BROGDON       ,2,99999999,403090900,L350
369,ALICE         ,COX                      ,CARLIE        ,2,19500709,403765510,C200
370,ALICE         ,DUNKS                    ,HUESMAN       ,2,19370902,403381985,D520
371,ALICE         ,POWERS                   ,PASCH         ,2,19761201,403423936,P620
372,ALICE         ,MALLORY                  ,FRITZ         ,2,19580412,403575230,M460
373,ALICE         ,GILMORE                  ,A             ,2,19660625,403439926,G456
374,ALICE         ,FLORES                   ,FRITZ         ,2,19300614,403593841,F462
375,ALICE         ,BLACK                    ,C             ,2,19310513,403179655,B420
376,ALICE         ,WARILA                   ,ATTEBERRY     ,2,19541212,403110411,W640
377,ALICE         ,HIGH                     ,FOY           ,2,19820520,403825487,H200
378,ALICE         ,SMITH                    ,BYRD          ,2,19451113,403593418,S530
